Ancestors,Latitude,Longitude
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-Y206934>J-Y206924,,
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5655*,42.36000000,47.1424000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5655*,,
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS12644,,
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS12644,42.71870000,68.7533000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-ZS5650>J-ZS5650*,39.24790000,46.1518000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-ZS5650>J-ZS5650*,42.36000000,47.1424000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-ZS5650>J-ZS5650*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-ZS5650>J-Y338024,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-ZS5650>J-Y338024,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-Y128953>J-Y129171,39.24790000,46.1518000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-Y128953>J-Y143735>J-Y268217,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-Y128953>J-Y143735>J-Y268217,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-Y128953>J-Y143735>J-FTA58931>J-FTA58931*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-Y128953>J-Y143735>J-FTA58931>J-Y143749>J-FTA78347>J-FTA78347*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-Y128953>J-Y143735>J-FTA58931>J-Y143749>J-FTA78347>J-Y265926,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-Y128953>J-Y143735>J-FTA58931>J-Y143749>J-FTA78347>J-Y265926,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-Y128953>J-Y143735>J-FTA58931>J-Y143749>J-FTA58425>J-FTA58425*,43.21530000,45.7570000
